P1 | 1 | 5 | S | 3 | 3
P2 | 2 | 8 | S | 4 | 5
P3 | 3 | 4 | S | 5 | 1
P4 | 4 | 7 | N | 0 | 0
P5 | 5 | 3 | S | 2 | 5
P6 | 6 | 6 | S | 3 | 1
P7 | 7 | 2 | S | 4 | 3
P8 | 8 | 5 | N | 0 | 0
P9 | 9 | 8 | S | 6 | 1
P10 | 10 | 4 | S | 2 | 3
P11 | 11 | 7 | S | 3 | 5
P12 | 12 | 3 | N | 0 | 0
P13 | 13 | 6 | S | 5 | 3
P14 | 14 | 2 | S | 6 | 5
P15 | 15 | 5 | S | 2 | 1
P16 | 16 | 8 | N | 0 | 0
P17 | 17 | 4 | S | 4 | 5
P18 | 18 | 7 | S | 5 | 1
P19 | 19 | 3 | S | 6 | 3
P20 | 20 | 6 | N | 0 | 0
P21 | 21 | 2 | S | 3 | 1
P22 | 22 | 5 | S | 4 | 3
P23 | 23 | 8 | S | 5 | 5
P24 | 24 | 4 | N | 0 | 0
P25 | 25 | 7 | S | 2 | 3
P26 | 26 | 3 | S | 3 | 5
P27 | 27 | 6 | S | 4 | 1
P28 | 28 | 2 | N | 0 | 0
P29 | 29 | 5 | S | 6 | 5
P30 | 30 | 8 | S | 2 | 1
